Date;Open;High;Low;Close;Volume;MarketCap
21/01/2015;211.38;227.79;211.21;226.90;29924600;2905520000
20/01/2015;212.91;215.24;205.15;211.31;24051100;2925910000
19/01/2015;211.47;216.73;207.32;214.86;18658300;2905410000
18/01/2015;200.05;218.69;194.51;210.34;30085100;2747730000
17/01/2015;207.83;211.73;194.88;199.26;23469700;2853930000
16/01/2015;209.07;221.59;199.77;208.10;38421000;2870180000
15/01/2015;176.90;229.07;176.90;209.84;81773500;2427830000
14/01/2015;223.89;223.89;171.51;178.10;97638700;3072020000
13/01/2015;267.39;268.28;219.91;225.86;72843900;3668040000
12/01/2015;266.15;272.20;265.20;267.80;18880300;3649970000
11/01/2015;274.61;279.64;265.04;265.66;18200800;3764960000
10/01/2015;287.30;288.13;273.97;274.80;15264300;3937990000
09/01/2015;282.38;291.11;280.53;290.41;18718600;3869530000
08/01/2015;294.13;294.13;282.18;283.35;19982500;4029490000
07/01/2015;286.08;298.75;283.08;294.34;24866800;3918090000
06/01/2015;274.61;287.55;272.70;286.19;23245700;3759970000
05/01/2015;265.08;278.34;265.08;274.47;43962800;3628490000
04/01/2015;281.15;287.23;257.61;264.19;55629100;3847150000
03/01/2015;314.85;315.15;281.08;281.08;33054400;4307010000
02/01/2015;314.08;315.84;313.56;315.03;7860650;4295210000
01/01/2015;320.44;320.44;314.00;314.25;8036550;4380820000
31/12/2014;310.91;320.19;310.21;320.19;13942900;4249480000
30/12/2014;312.72;314.81;309.37;310.74;12528300;4272940000
29/12/2014;317.70;320.27;312.31;312.67;12302500;4339700000
28/12/2014;316.16;320.03;311.08;317.24;11676600;4317320000
27/12/2014;327.58;328.91;312.63;315.86;15185200;4472050000
26/12/2014;319.15;331.42;316.63;327.92;16410500;4355750000
25/12/2014;322.29;322.67;316.96;319.01;9883640;4397250000
24/12/2014;334.38;334.74;321.36;322.53;15092300;4561040000
23/12/2014;332.02;336.29;329.60;334.57;16574200;4527490000
22/12/2014;321.07;334.12;320.43;331.89;22315100;4376890000
21/12/2014;329.54;329.63;318.90;320.84;15207600;4491320000
20/12/2014;317.62;330.32;316.04;329.96;20856700;4327750000
19/12/2014;311.18;318.53;306.77;317.84;23823100;4238930000
18/12/2014;319.79;323.71;304.23;311.40;39173000;4355140000
17/12/2014;326.86;333.95;315.15;319.78;37567900;4450380000
16/12/2014;345.67;345.86;327.06;327.06;30864900;4705370000
15/12/2014;351.36;351.81;344.93;345.35;17264200;4781560000
14/12/2014;346.73;353.32;345.42;351.63;12415200;4717270000
13/12/2014;352.38;352.38;346.59;347.38;11675900;4792870000
12/12/2014;350.83;352.98;349.29;352.54;16989800;4770620000
11/12/2014;344.34;361.36;338.76;350.51;32431300;4681040000
10/12/2014;352.20;352.38;346.37;346.37;16427700;4786700000
09/12/2014;361.89;363.07;344.95;352.22;32915500;4917110000
08/12/2014;374.96;376.03;361.89;361.91;18898700;5093180000
07/12/2014;374.84;376.29;373.27;375.10;6491650;5090240000
06/12/2014;376.76;378.45;370.94;374.79;7009320;5115040000
05/12/2014;369.44;379.19;365.76;376.85;15181800;5014290000
04/12/2014;375.72;378.65;367.76;369.60;14529600;5098100000
03/12/2014;381.72;383.03;374.35;375.01;13340100;5178450000
02/12/2014;379.25;384.04;377.86;381.31;12364100;5143500000
01/12/2014;378.25;383.66;376.67;379.25;11763000;5128700000
30/11/2014;375.51;382.53;373.31;378.05;9194440;5090060000
29/11/2014;376.15;387.60;372.14;375.49;15375600;5097280000
28/11/2014;369.37;382.84;358.45;376.45;22946500;5004050000
27/11/2014;370.50;373.99;368.28;369.67;8748030;5018040000
